sportangebot,sportangebot-detail,wochentag,uhrzeit_start,uhrzeit_ende,strasse,hausnummer,hn-zusatz,stadteil,schulnamen,zusatzinfomationen,latitude,longitude,webseite
Mobility Streching,,Mittwoch,18:00,19:00,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/mobilitystretching-freizeitsport-muenchen
Nordic Walking + Gym,,Dienstag,18:15,19:30,Dantestr.,14,vor dem Dantestadion,Gern,Dantestr. 14 (vor dem Dantestadion),"Noch bis zum 21.10.2025, Winterpause vom 28.10.2025 - 7.4.2026, Start wieder ab 14.4.2026 (auch in den Ferien)",48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/nordic-walking-gym-freizeitsport-muenchen
Pilates,,Donnerstag,18:00,19:00,Antonienstr.,6,,Schwabing,Berufl. Schulzentrum  Alice Bendix,,48.1646837125794,11.5896287591855,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
Pilates,,Freitag,9:00,10:00,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
Pilates,,Mittwoch,19:30,20:30,Feldbergstr.,85,,Trudering,Mittelschule an der Feldbergstr. 85 (KSH 1),,48.1177097702945,11.6679835260961,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
Pilates,,Dienstag,18:00,19:00,Luisenstr.,29,Halle 1,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 29,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
Pilates,,Mittwoch,18:00,19:00,Luisenstr.,29,Halle 3,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 32,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
Pilates,,Dienstag,19:00,20:00,Mariahilfplatz,18,Halle 3 / 2. OG,,Staatl. GS Mariahilfplatz,,48.1246735599684,11.5820517686975,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
Pilates,,Mittwoch,19:00,20:00,Meindlstr.,8,,Harras,"Staatliche Dieter-Hildebrandt-Wirtschaftsschule, Meindlstraße 8a (EH1)",,48.1187884391627,11.5379845551616,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
Pilates,,Dienstag,17:00,18:00,Stielerstr.,6,OG,Theresienwiese,"Grundschule an der Stielerstr. 6, OG",,48.1277325855402,11.551609288548,https://www.muenchen.de/freizeit/freizeitsportprogramm/pilates-freizeitsport-muenchen
